id,path,question,a,b,c,d,answer
train_0479,train/train_0479.jpg,사진 속 손에 들려있는 제품은 무엇인가요?,미니쮸 포도맛,허쉬 초콜릿,껌,버터앤쉘터 버터카라멜,d
train_0480,train/train_0480.jpg,이 사진에 보이는 그림엽서들 중 동물이 아닌 것은 무엇인가요?,의자,고래,캥거루,호랑이,a
train_0481,train/train_0481.jpg,이 사진에 보이는 디저트는 무엇인가요?,당근 케이크,초코 케이크,치즈 케이크,레드벨벳 케이크,b
train_0482,train/train_0482.jpg,이 사진에 보이는 꽃은 무엇인가요?,튤립,장미,벚꽃,해바라기,c
train_0483,train/train_0483.jpg,이 사진에서 고양이가 누워있는 장소는 어디인가요?,의자 위,꽃밭,나무 위,자갈 위,d
train_0484,train/train_0484.jpg,이 피자에 들어가지 않은 재료는 무엇인가요?,올리브,페퍼로니,옥수수,버섯,d
train_0485,train/train_0485.jpg,이 사진 속에 주로 등장하는 동물은 무엇인가요?,새,토끼,고양이,강아지,c
train_0486,train/train_0486.jpg,이 음식은 무엇인가요?,순대,김밥,떡볶이,만두,a
train_0487,train/train_0487.jpg,이 주유소의 이름은 무엇인가요?,광주하남 주유소,서울중앙 주유소,부산해운대 주유소,나주빛가람 주유소,d
train_0488,train/train_0488.jpg,이 사진에 보이는 장소는 어디인가요?,롯데월드,서울대공원,에버랜드,서울랜드,c
train_0489,train/train_0489.jpg,이 사진에 보이는 음식은 무엇인가요?,도넛,아이스크림 콘,소프트 아이스크림과 빵,컵케이크,c
train_0490,train/train_0490.jpg,이 사진에 나오는 주차장의 이름은 무엇인가요?,북공영주차장,카페 310 주차장,서울금방 주차장,남공영주차장,a
train_0491,train/train_0491.jpg,이 음식은 어떤 종류의 요리인가요?,떡볶이,회와 육회,비빔밥,김밥,b
train_0492,train/train_0492.jpg,이 안내문에서 환영하는 대상은 누구인가요?,김석진LAB 연구원,SSAFY 교육생,카카오톡 친구,헥토그룹 임직원,b
train_0493,train/train_0493.jpg,이 이미지에 보이는 음식은 어떤 종류인가요?,양식,중식,한식,일식 해산물 모둠,d
train_0494,train/train_0494.jpg,이 음식은 무엇인가요?,비빔밥,된장찌개,라멘,김치찌개,c
train_0495,train/train_0495.jpg,이 음식의 주된 재료는 무엇인가요?,닭 날개,생선,소고기,돼지고기,a
train_0496,train/train_0496.jpg,이 음식은 무엇일까요?,김치찌개,된장찌개,비빔밥,쌀국수,d
train_0497,train/train_0497.jpg,이 이미지에 보이는 음식은 무엇인가요?,햄버거,치킨,피자,스파게티,c
train_0498,train/train_0498.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,눈이 많이 쌓여 있는 풍경,나무가 있는 공원,고층 아파트 단지,구름이 낀 하늘,a
train_0499,train/train_0499.jpg,이 사진에 보이는 건물의 이름은 무엇인가요?,서초마을 103,동천마을 102,남산마을 104,한강마을 101,b
train_0500,train/train_0500.jpg,사진 속 사람들이 하고 있는 것은 무엇인가요?,마스크를 착용하고 있다,음식을 먹고 있다,자전거를 타고 있다,운동을 하고 있다,a
train_0501,train/train_0501.jpg,이 사진에서 사람들이 주로 무엇을 하고 있나요?,음악 공연을 보고 있다,음식을 먹고 있다,운동 경기를 하고 있다,꽃구경을 하며 걷고 있다,d
train_0502,train/train_0502.jpg,이 사진에서 사람들이 어디에 서 있나요?,택시 승강장,버스 정류장,공원 입구,지하철역,b
train_0503,train/train_0503.jpg,이 지하철 안에서 사람들이 주로 무엇을 하고 있나요?,잠을 자고 있다,스마트폰을 보고 있다,책을 읽고 있다,음식을 먹고 있다,a
train_0504,train/train_0504.jpg,이 이미지에서 사람들이 주로 어디에 있나요?,건물 옥상,공원,지하철역,다리 위,d
train_0505,train/train_0505.jpg,이 사진에서 볼 수 있는 노트북 브랜드는 무엇인가요?,애플,델,삼성,레노버,c
train_0506,train/train_0506.jpg,책상 위에 놓여 있지 않은 물건은 무엇인가요?,마우스,스마트폰,텀블러,노트북,b
train_0507,train/train_0507.jpg,사진 속 가방의 색깔은 무엇인가요?,검은색,빨간색,파란색,회색,a
train_0508,train/train_0508.jpg,이 이미지에서 볼 수 있는 물건은 무엇인가요?,옷걸이,책,가방,신발,a
train_0509,train/train_0509.jpg,이 사진에서 파란색 교통표지판이 의미하는 것은 무엇인가요?,좌회전 금지,직진만 가능,우회전 금지,직진 또는 우회전 가능,d
train_0510,train/train_0510.jpg,이 사진은 어디에서 찍은 것일까요?,카페,도서관,박물관,서점,d
train_0511,train/train_0511.jpg,사진 속 아치형 구조물은 무엇으로 만들어졌나요?,유리,책,금속,나무,b
train_0512,train/train_0512.jpg,이 도로 표지판은 무엇을 의미하나요?,급커브,횡단보도,좁은 길,주차금지,a
train_0513,train/train_0513.jpg,이 이미지에 나온 시게이트(Seagate) 제품의 저장 용량은 얼마인가요?,4TB,500GB,1TB,2TB,d
train_0514,train/train_0514.jpg,이 사진에서 볼 수 있는 상황은 무엇인가요?,시장 장보기 인파,대규모 시위 또는 집회,공연 관람객,축구 경기 관중,b
train_0515,train/train_0515.jpg,이 사진에 보이는 음식은 어떤 종류의 음식일까요?,일식 도시락,양식 도시락,한식 도시락,중식 도시락,c
train_0516,train/train_0516.jpg,이 행운카드의 미션은 무엇인가요?,행운의 네잎클로버 찾기,복권 번호 맞추기,생성형 AI를 활용해 사용하는 언어 캐릭터 만들기,매일 좋은 일 세 가지 적기,c
train_0517,train/train_0517.jpg,이 이미지는 무엇을 보여주고 있나요?,침대 매트리스,책상,의자,소파,a
train_0518,train/train_0518.jpg,이 음식은 무엇인가요?,김치찌개,비빔밥,불고기,치즈돈까스,d
train_0519,train/train_0519.jpg,이 사진에 보이는 음식 중 치즈가 들어간 돈까스는 어느 접시에 있나요?,오른쪽 접시,앞쪽 접시,왼쪽 접시,모든 접시,b
train_0520,train/train_0520.jpg,사진 속 음식에 들어가지 않은 재료는 무엇인가요?,오징어,치즈,새우,토마토,b
train_0521,train/train_0521.jpg,이 건축물의 이름은 무엇인가요?,창덕궁,흥인지문,경복궁,월정교,d
train_0522,train/train_0522.jpg,사진 속 고양이는 어떤 자세로 앉아 있나요?,의자에 앉은 자세,엎드려 누운 자세,사람처럼 앉은 자세,옆으로 누운 자세,c
train_0523,train/train_0523.jpg,이 피자의 토핑으로 올려지지 않은 것은 무엇인가요?,바질잎,치즈,햄,버섯,d
train_0524,train/train_0524.jpg,사진 속에 있는 노란색과 파란색 캐릭터는 무엇인가요?,요괴워치,디지몬,포켓몬,드래곤볼,b
train_0525,train/train_0525.jpg,이 음식은 무엇인가요?,김밥,빙수,불고기,떡볶이,b
train_0526,train/train_0526.jpg,이 사진에서 구름의 색이 주로 무엇 때문에 밝은 주황색으로 보이나요?,해가 지는 시간대의 햇빛,구름이 매우 두꺼워서,비가 내리는 중,달빛이 반사되어서,a
train_0527,train/train_0527.jpg,이 사진에 보이는 다리는 무엇인가요?,부산대교,인천대교,광안대교,한강대교,c
train_0528,train/train_0528.jpg,이 사진이 찍힌 장소는 어디일까요?,광안리 해변,해운대 해변,다대포 해변,송정 해변,b
train_0529,train/train_0529.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,사과나무,나무 벤치,텃밭용 삽,레몬나무,a
train_0530,train/train_0530.jpg,이 사진은 어디에서 촬영된 것일까요?,고층 빌딩 옥상에서,기차 내부에서,자동차 창문 밖에서,비행기 창문 밖에서,d
train_0531,train/train_0531.jpg,이 사진에서 보이는 호수 위에서 탈 수 있는 탈것은 무엇인가요?,자전거,자동차,스쿠터,오리 모양 보트,d
train_0532,train/train_0532.jpg,이 장소는 주로 어떤 용도로 사용될 가능성이 가장 높을까요?,운동 시설,사무실,카페나 레스토랑,도서관,c
train_0533,train/train_0533.jpg,이 음식은 무엇을 주재료로 만든 일본 요리일까요?,장어 덮밥,라멘,생선회,스시,a
train_0534,train/train_0534.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,호수,고층 빌딩,나무,눈,d
train_0535,train/train_0535.jpg,이 사진 속 음식은 무엇인가요?,김치찌개,비빔밥,라멘,돈까스,c
train_0536,train/train_0536.jpg,사진 속 강아지들이 가지고 놀고 있는 장난감의 색깔은 무엇인가요?,노란색,빨간색,초록색,파란색,d
train_0537,train/train_0537.jpg,이 사진에 보이는 악기는 무엇인가요?,기타,피아노,바이올린,드럼,a
train_0538,train/train_0538.jpg,이 사진에서 볼 수 있는 스포츠 경기는 무엇인가요?,축구,농구,야구,배구,c
train_0539,train/train_0539.jpg,이 사진에 나온 인왕봉의 해발 고도는 얼마인가요?,"1,164m","1,000m",964m,"1,200m",a
train_0540,train/train_0540.jpg,이 사진에서 작은 강아지가 입고 있는 옷의 특징은 무엇인가요?,파란색 목도리,빨간색 모자,캐릭터가 그려진 스웨터,노란색 조끼,c
train_0541,train/train_0541.jpg,이 이미지에서 볼 수 있는 행사나 프로그램의 이름은 무엇인가요?,삼성 청년 SW 아카데미,네이버 개발자 콘퍼런스,구글 코드잼,카카오 AI 캠프,a
train_0542,train/train_0542.jpg,사진 속 강아지가 가지고 노는 공의 색깔은 무엇인가요?,초록색과 검은색,주황색과 보라색,노란색과 파란색,빨간색과 흰색,c
train_0543,train/train_0543.jpg,사진 속 강아지가 앉아 있는 것은 무엇인가요?,쿠션 소파,카펫,플라스틱 상자,나무 의자,a
train_0544,train/train_0544.jpg,이 사진에서 검은색 자동차 위에 앉아 있는 동물은 무엇인가요?,개,토끼,새,고양이,d
train_0545,train/train_0545.jpg,이 사진에서 보이는 전통 건축물은 무엇인가요?,한옥 마을,사찰,고궁,한옥 카페,b
train_0546,train/train_0546.jpg,이 사진에 몇 마리의 고양이가 있나요?,16마리,10마리,12마리,14마리,c
train_0547,train/train_0547.jpg,이 사진에서 보이는 주요 자연 요소는 무엇인가요?,눈 덮인 산,호수와 나무,산과 바다,사막과 선인장,b
train_0548,train/train_0548.jpg,사진 속 동물은 무엇인가요?,햄스터,고양이,토끼,강아지,b
train_0549,train/train_0549.jpg,사진 속에서 오리가 서 있는 장소는 어디인가요?,호숫가,공원 벤치,산 정상,도시 거리,a
train_0550,train/train_0550.jpg,사진 속 동물은 무엇인가요?,햄스터,고양이,강아지,토끼,b
train_0551,train/train_0551.jpg,이 강아지가 누워 있는 곳은 어디인가요?,개 침대,바닥 위,소파 위,책상 아래,a
train_0552,train/train_0552.jpg,이 강아지가 입고 있는 옷의 무늬는 무엇인가요?,꽃무늬,물방울무늬,줄무늬,체크무늬,c
train_0553,train/train_0553.jpg,사진 속 비둘기가 서 있는 곳은 어디인가요?,인도 가장자리,잔디밭,도로 위,나무 위,a
train_0554,train/train_0554.jpg,이 사진에서 고양이는 어디에 있나요?,책상 위,침대 위,상자 안,창문 옆,c
train_0555,train/train_0555.jpg,사진 속 동물은 무엇인가요?,고양이,토끼,개,햄스터,a
train_0556,train/train_0556.jpg,이 사진 속 고양이가 창가에서 하고 있는 행동은 무엇인가요?,창문을 닦고 있다,낮잠을 자고 있다,창밖을 바라보고 있다,창문 밖을 향해 울고 있다,c
train_0557,train/train_0557.jpg,이 사진에서 고양이가 앉아 있는 곳은 어디인가요?,책상 위,의자,바닥 위,종이상자,d
train_0558,train/train_0558.jpg,사진 속 고양이 옆에 있는 물건은 무엇인가요?,마우스,헤어드라이기,리모컨,휴대전화,a
train_0559,train/train_0559.jpg,이 사진에서 태양은 어디에 위치해 있나요?,나무 왼쪽에 있다,나무 뒤에 있다,나무 위에 있다,나무 오른쪽에 있다,b
train_0560,train/train_0560.jpg,사진 속 인물이 서 있는 곳은 어디인가요?,강가,호수,산,바닷가,d
train_0561,train/train_0561.jpg,사진 속 강아지가 입고 있는 옷에 붙어 있는 마크는 무엇인가요?,슈퍼맨,아이언맨,스파이더맨,배트맨,d
train_0562,train/train_0562.jpg,이 사진에 보이는 음식 중 국물이 있는 음식은 무엇인가요?,아보카도 샐러드,우육면,피클,볶음면,b
train_0563,train/train_0563.jpg,이 체육관에서 할 수 없는 운동은 무엇일까요?,수영,배드민턴,농구,탁구,a
train_0564,train/train_0564.jpg,이 사진에서 사람들이 주로 무엇을 하고 있나요?,해변에서 일광욕을 하고 있다,도시 공원에서 산책을 하고 있다,산에서 등산을 하고 있다,강가에서 물놀이를 하고 있다,d
train_0565,train/train_0565.jpg,이 사진에서 아이가 하고 있는 활동은 무엇인가요?,강에서 튜브를 타고 쉬고 있다,수영장에서 수영하고 있다,해변에서 모래성을 쌓고 있다,호수에서 낚시하고 있다,a
train_0566,train/train_0566.jpg,이 음식에 포함되어 있지 않은 것은 무엇인가요?,치킨 텐더,토마토 케첩,감자튀김,샐러드,d
train_0567,train/train_0567.jpg,이 음식은 무엇으로 보이나요?,제육볶음,오징어볶음,떡볶이,닭갈비,d
train_0568,train/train_0568.jpg,이 케이크 위에 올려져 있지 않은 과일은 무엇인가요?,포도,오렌지,귤,사과,d
train_0569,train/train_0569.jpg,"사진에 보이는 차량의 상태로 볼 때, 어떤 부분이 손상되었나요?",차 문이 열리지 않는다,범퍼가 파손되었다,창문이 깨졌다,타이어가 펑크났다,b
train_0570,train/train_0570.jpg,이 사진에 등장하는 식물의 이름은 무엇인가요?,아가베,드라세나,선인장,알로에,a
train_0571,train/train_0571.jpg,사진 속 선인장 이름으로 올바른 것은 무엇인가요?,그린플랜트,네오,선인장,마구니뤼커스,b
train_0572,train/train_0572.jpg,이 공원에 있는 큰 꽃 조형물은 어떤 모양일까요?,별 모양,하트 모양,버섯 모양,나비 모양,c
train_0573,train/train_0573.jpg,이 사진이 찍힌 장소는 어디인가요?,교토 기온,후쿠오카 텐진,오사카 도톤보리,도쿄 시부야,c
train_0574,train/train_0574.jpg,이 사진 속 음식의 주 재료는 무엇인가요?,새우,소고기,돼지고기,닭고기,a
train_0575,train/train_0575.jpg,이 사진에 보이는 음식 중 치즈가 많이 올라간 음식은 무엇인가요?,피자,스파게티,피클,버섯 리조또,a
train_0576,train/train_0576.jpg,이 음식은 무엇인가요?,김치찌개,냉면,비빔밥,된장찌개,b
train_0577,train/train_0577.jpg,이 사진에 보이는 음식은 무엇인가요?,츄러스,쿠키,도넛,케이크,a
train_0578,train/train_0578.jpg,이 사진에서 들고 있는 음료는 무엇인가요?,주스,레모네이드,버블티,아이스커피,c
train_0579,train/train_0579.jpg,사진 속 손에 들려 있는 초콜릿 바는 무엇인가요?,베아제,가나 초콜릿,트윅스,키트캣,b
train_0580,train/train_0580.jpg,이 이미지에 등장하는 캐릭터가 가진 물건은 무엇인가요?,장난감 총,술병,책,빵,b
train_0581,train/train_0581.jpg,이 사진에서 두 사람은 어떤 행사에 참석하고 있습니까?,결혼식,파티,콘서트,졸업식,a
train_0582,train/train_0582.jpg,사진 속 음식은 무엇인가요?,비빔밥,주먹밥,김밥,떡볶이,b
train_0583,train/train_0583.jpg,이 이미지에 보이는 음식 중 한국의 대표적인 분식은 무엇인가요?,떡볶이,삼겹살,비빔밥,김치찌개,a
train_0584,train/train_0584.jpg,사진 속 동물은 무엇인가요?,햄스터,토끼,고양이,강아지,c
train_0585,train/train_0585.jpg,이 사진 속 케이크 위에 올려진 것은 무엇인가요?,초,과일,꽃,장식용 리본,a
train_0586,train/train_0586.jpg,이 인형은 어떤 캐릭터인가요?,도라에몽,포켓몬,미키마우스,헬로키티,d
train_0587,train/train_0587.jpg,사진 속에서 손이 잡고 있는 것은 무엇인가요?,장난감 자동차,책,고양이,공룡 인형,d
train_0588,train/train_0588.jpg,이 사진에 있는 음식은 무엇인가요?,케이크,쿠키,마카롱,초콜릿,c
train_0589,train/train_0589.jpg,이 종이접기 작품은 어떤 동물을 표현한 것일까요?,토끼,고양이,곰,강아지,d
train_0590,train/train_0590.jpg,이 이미지에 있는 음식은 무엇인가요?,김밥과 우동,짜장면과 탕수육,떡볶이와 양념치킨,비빔밥과 불고기,c
train_0591,train/train_0591.jpg,이 사진에서 보이는 밝게 빛나는 것은 무엇인가요?,태양,달,가로등,별,b
train_0592,train/train_0592.jpg,이 제품은 무엇을 검사하기 위한 키트인가요?,알레르기 검사,혈당 수치 검사,임신 검사,코로나19 항원 자가 검사,d
train_0593,train/train_0593.jpg,이 식판에 있는 음식 중 국물 요리는 무엇인가요?,미역국,어묵국,된장찌개,김치찌개,b
train_0594,train/train_0594.jpg,이 식단에서 볼 수 없는 음식은 무엇인가요?,떡볶이,불고기,김치찌개,생선구이,b
train_0595,train/train_0595.jpg,이 식판에서 가장 많은 양이 담긴 음식은 무엇인가요?,밥,고기,국,샐러드,a
train_0596,train/train_0596.jpg,이 가게 앞에 놓인 빨간색 입간판에 적힌 음식은 무엇인가요?,피자,치킨,파스타,햄버거,a
train_0597,train/train_0597.jpg,이 사진에서 보이는 음식은 어떻게 포장되어 있나요?,플라스틱 용기에 담김,종이 봉투에 담김,비닐 봉지에 진공 포장,종이 상자에 담김,c
train_0598,train/train_0598.jpg,이 사진에서 볼 수 있는 꽃은 무엇인가요?,튤립,장미,벚꽃,해바라기,c
train_0599,train/train_0599.jpg,이 제품은 무엇인가요?,소시지,피자,햄버거,김밥,a
train_0600,train/train_0600.jpg,사진에 보이는 음식은 무엇인가요?,소시지,치즈,베이컨,햄버거 패티,a
train_0601,train/train_0601.jpg,이 사진 속 음식의 주된 재료는 무엇인가요?,생선,닭고기,돼지고기,소고기,d
train_0602,train/train_0602.jpg,이 안내판에서 다루고 있는 주요 내용은 무엇인가요?,교실 내 청소 방법,운동장 사용 규칙,"안면부, 손 및 팔, 허리 및 다리의 피해 부위 및 유발 원인",학교 급식 메뉴 안내,c
train_0603,train/train_0603.jpg,이 이미지에 보이는 제품은 무엇인가요?,휴대폰 충전기,USB 메모리,이어폰,휴대폰 배터리,a
train_0604,train/train_0604.jpg,이 사진은 어디에서 찍은 것인가요?,농구장,축구장,수영장,야구장,d
train_0605,train/train_0605.jpg,이 사진 속에 있는 뜨개질 작품은 무엇을 닮았나요?,케이크,벌집,꽃,사과,a
train_0606,train/train_0606.jpg,사진 속 고양이 옆에 있는 과일은 무엇인가요?,포도,오렌지,사과,바나나,b
train_0607,train/train_0607.jpg,사진에 보이는 동물은 무엇인가요?,강아지,고양이,토끼,햄스터,b
train_0608,train/train_0608.jpg,이 음식은 무엇인가요?,라멘,김치찌개,비빔밥,텐동,d
train_0609,train/train_0609.jpg,이 사진에서 테이블 주위에 배치된 의자의 색상 조합으로 옳은 것은 무엇인가요?,초록색 4개,노란색 2개와 파란색 2개,파란색 4개,초록색 2개와 파란색 2개,d
train_0610,train/train_0610.jpg,이 이미지에 보이는 제품들은 어떤 브랜드와 관련이 있나요?,닌텐도 캐릭터,디즈니 캐릭터,포켓몬 캐릭터,산리오 캐릭터,d
train_0611,train/train_0611.jpg,사진 속 두 마리 고양이가 하고 있는 행동은 무엇인가요?,잠을 자고 있다,서로 냄새를 맡고 있다,먹이를 먹고 있다,싸우고 있다,b
train_0612,train/train_0612.jpg,사진 속 고양이가 하고 있는 행동은 무엇인가요?,하품을 하고 있다,귀를 세우고 있다,한쪽 눈을 감고 있다,눈을 깜빡이고 있다,c
train_0613,train/train_0613.jpg,사진 속 작은 동물이 어디에 있나요?,책상 위,침대 옆,창문 앞,종이상자 구석,d
train_0614,train/train_0614.jpg,이 음식은 무엇인가요?,김밥,칼국수,불고기,비빔밥,b
train_0615,train/train_0615.jpg,이 사진에 보이는 음식은 무엇인가요?,부대찌개,라면,비빔밥,떡볶이,a
train_0616,train/train_0616.jpg,이 음식의 이름은 무엇인가요?,김치전,잡채,탕수육,비빔밥,c
train_0617,train/train_0617.jpg,이 음식의 이름은 무엇인가요?,불고기,닭갈비,비빔밥,김치찌개,b
train_0618,train/train_0618.jpg,이 사진에서 보이는 디저트 종류가 아닌 것은 무엇인가요?,아이스 아메리카노,망고 케이크,딸기 타르트,초콜릿 케이크,c
train_0619,train/train_0619.jpg,이 사진에 나온 동물은 무엇인가요?,고양이,다람쥐,토끼,강아지,a
train_0620,train/train_0620.jpg,이 사진이 찍힌 시간대로 가장 적절한 것은 무엇인가요?,한밤중,아침 일찍,저녁 무렵,점심 시간,c
train_0621,train/train_0621.jpg,이 사진에서 보이는 길가에 심어진 나무는 어떤 모양인가요?,별 모양,사각형 모양,삼각형 모양,둥근 모양,d
train_0622,train/train_0622.jpg,이 음식은 무엇인가요?,곰탕,갈비,육회,불고기,c
train_0623,train/train_0623.jpg,이 사진에 보이는 음식 재료는 무엇인가요?,생고기와 마늘,닭고기와 양파,돼지고기와 당근,생선과 마늘,a
train_0624,train/train_0624.jpg,이 사진 속 음식에 주로 사용된 재료는 무엇인가요?,아몬드,바나나,오레오 쿠키,딸기,c
train_0625,train/train_0625.jpg,이 사진에서 보이는 아파트 단지 이름은 무엇인가요?,삼성 타운,롯데 캐슬,현대 힐스테이트,SK VIEW,d
train_0626,train/train_0626.jpg,이 음식의 주재료로 보이지 않는 것은 무엇일까요?,파,버섯,소고기,오징어,c
train_0627,train/train_0627.jpg,이 이미지에 보이는 과자의 이름은 무엇인가요?,오란다,제로 슈가,에디야,아메리카노,a
train_0628,train/train_0628.jpg,이 이미지에 보이는 간식 중 젤리 브랜드는 무엇인가요?,비요리아,퍼펙타,gomgom,HARIBO,d
train_0629,train/train_0629.jpg,이 제품은 무엇과 관련된 상품인가요?,새해 다이어리,여름용 선크림,할로윈 장식품,크리스마스 디퓨저,d
train_0630,train/train_0630.jpg,컵에 적힌 문구는 무엇인가요?,따뜻한 차 한잔의 여유,행복한 하루가 시작된다,기분 좋은 커피향이 숲을 피어난다,커피는 인생의 활력소,c
train_0631,train/train_0631.jpg,이 책상 위에 있는 노트북 화면에는 어떤 내용이 보이나요?,여름 피크닉 장면,도시 야경,우주 사진,해변 풍경,a
train_0632,train/train_0632.jpg,이 사진은 어떤 장소를 보여주고 있나요?,미술관,학교 교실,카페,도서관,c
train_0633,train/train_0633.jpg,이 사진에서 볼 수 있는 동물은 무엇인가요?,새,강아지,고양이,토끼,c
train_0634,train/train_0634.jpg,이 방의 컴퓨터 모니터는 어떻게 배치되어 있나요?,"한 대는 가로, 다른 한 대는 세로로 배치되어 있다.",한 대의 모니터만 사용하고 있다.,두 대의 모니터가 나란히 가로로 배치되어 있다.,모니터가 바닥에 놓여 있다.,a
train_0635,train/train_0635.jpg,사진 속에서 손가락으로 하는 제스처는 무엇인가요?,주먹 쥐기,손가락 하트,브이 표시,엄지척,d
train_0636,train/train_0636.jpg,이 책상 위에 보이지 않는 것은 무엇인가요?,스마트폰,이어폰,마우스,키보드,a
train_0637,train/train_0637.jpg,이 책상 위에 없는 것은 무엇일까요?,연필,이어폰,음료수 캔,볼펜,a
train_0638,train/train_0638.jpg,책상 위에 보이는 마우스 패드에 적힌 문구는 무엇인가요?,열심히 공부합시다,성공은 노력의 결과,행복한 하루 되세요,꿈을 현실로 만드는 시작,d
train_0639,train/train_0639.jpg,사진 속 곤충은 무엇인가요?,무당벌레,장수풍뎅이,사슴벌레,나비,c
train_0640,train/train_0640.jpg,이 사진에서 주로 볼 수 있는 장식품은 무엇인가요?,산타클로스 인형,눈사람 인형,양말 장식,크리스마스 트리,a
train_0641,train/train_0641.jpg,이 사진 속 동물은 무엇일까요?,까마귀,펭귄,앵무새,비둘기,b
train_0642,train/train_0642.jpg,이 사진에 보이는 케이크 위에 올려져 있는 빨간색 모양은 무엇인가요?,하트 모양 초,장미 꽃잎,사과 모양 장식,딸기 모형,a
train_0643,train/train_0643.jpg,이 사진 속 동물은 무엇인가요?,판다,코알라,사자,너구리,b
train_0644,train/train_0644.jpg,벽에 걸려 있는 물건 중 분홍색인 것은 무엇인가요?,열쇠고리,장갑,모자,가방,c
train_0645,train/train_0645.jpg,이 분수대의 물 위에 떠 있는 것은 무엇인가요?,플라스틱 조각,나뭇잎,꽃,돌,c
train_0646,train/train_0646.jpg,사진 속 동물은 무엇인가요?,토끼,햄스터,강아지,고양이,d
train_0647,train/train_0647.jpg,사진 속 동물은 무엇인가요?,고양이,햄스터,강아지,토끼,a
train_0648,train/train_0648.jpg,사진 속 고양이는 무엇을 하고 있나요?,울고 있다,놀고 있다,자는 중이다,먹고 있다,c
train_0649,train/train_0649.jpg,이 사진에 있는 동물은 무엇인가요?,강아지,고양이,햄스터,토끼,b
train_0650,train/train_0650.jpg,이 사진은 어디에서 찍은 것일까요?,공항 터미널,역사 대합실,백화점 내부,호텔 로비,c
train_0651,train/train_0651.jpg,이 장소는 주로 어떤 목적으로 사용될 가능성이 가장 높은가요?,야외 시장,음악 콘서트장,야외 결혼식 장소,야외 운동 경기장,c
train_0652,train/train_0652.jpg,이 사진에서 해가 지고 있는 시간대는 언제일까요?,아침 해 뜨는 시간,정오,한밤중,저녁 해 지는 시간,d
train_0653,train/train_0653.jpg,이 사진에서 보이는 도로 옆 인도에 있는 것은 무엇인가요?,벤치와 자전거 거치대,지하철 입구,버스 정류장,가로등과 나무,d
train_0654,train/train_0654.jpg,이 장바구니에 들어있는 음식이 아닌 것은 무엇인가요?,치킨,스파게티,사과,콜라,c
train_0655,train/train_0655.jpg,이 장소는 무엇을 위한 공간인가요?,도서관,헬스장,카페,영화관,b
train_0656,train/train_0656.jpg,이 사진에서 볼 수 있는 음료나 간식 관련 물품이 아닌 것은 무엇인가요?,설탕,커피 시럽,과일,캔디,c
train_0657,train/train_0657.jpg,이 사진에서 보이는 것은 무엇인가요?,컴퓨터 마우스와 키보드,스마트폰과 이어폰,책과 노트북,포장된 쿠키와 작은 종이 가방,d
train_0658,train/train_0658.jpg,이 사진에서 보이는 음식은 무엇인가요?,초밥과 튀김 요리,중식 볶음밥,피자와 파스타,한식 백반,a
train_0659,train/train_0659.jpg,사진 속에 있는 음식 중 매운 양념으로 구워진 음식은 무엇인가요?,오징어,닭발,삼겹살,치킨,b
train_0660,train/train_0660.jpg,다음 중 이미지에 보이지 않는 음식은 무엇인가요?,팬케이크,샌드위치,샐러드,스파게티,d
train_0661,train/train_0661.jpg,이 사진에 보이는 전통 건물의 지붕 형태는 무엇인가요?,기와 지붕,금속 지붕,유리 지붕,초가 지붕,a
train_0662,train/train_0662.jpg,이 사진에 보이는 음식 중 튀김 요리는 무엇인가요?,비빔밥,김치전,치킨 가라아게,된장찌개,c
train_0663,train/train_0663.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,고전 자동차 모형,오디오 앰프,식물 화분,동물 해골,c
train_0664,train/train_0664.jpg,이 책상 위에 없는 것은 무엇일까요?,거울,책,컴퓨터,식물,c
train_0665,train/train_0665.jpg,이 사진 속에 전시된 사진들의 공통된 주제는 무엇인가요?,열기구,풍선,구름,비행기,a
train_0666,train/train_0666.jpg,이 사진에서 볼 수 없는 음식은 무엇인가요?,과일,아이스크림,팬케이크,피자,d
train_0667,train/train_0667.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,컵,포장된 차,비닐봉지에 담긴 과자,전자저울,a
train_0668,train/train_0668.jpg,이 사진에서 보이는 노트북 화면에 보이는 내용은 무엇인가요?,커피 메뉴 웹사이트,코딩 작업,사진 편집,영화 감상,a
train_0669,train/train_0669.jpg,이 이미지에서 보이는 음식과 음료의 조합으로 가장 적절한 설명은 무엇인가요?,"커피와 케이크, 그리고 과일","소주와 삼겹살, 그리고 김치찌개","맥주와 피자, 그리고 샐러드","와인과 크림 파스타, 그리고 치즈와 견과류가 어우러진 요리",d
train_0670,train/train_0670.jpg,이미지 속 상품은 어떤 종류의 고기인가요?,닭고기,소고기,양고기,돼지고기,d
train_0671,train/train_0671.jpg,이 사진에서 보이는 음식은 무엇인가요?,피자,치킨,스파게티,김밥,b
train_0672,train/train_0672.jpg,이 사진에 보이는 음식은 무엇인가요?,된장국,비빔밥,김치찌개,짜장라면에 치즈와 계란을 올린 요리,d
train_0673,train/train_0673.jpg,사진 속 고양이가 앉아 있는 장소는 어디인가요?,침대 위 이불,책상 위 노트북,바닥 매트,소파 위 쿠션,b
